nome,votos
ENIO SILVA,3845
HELIO MOREIRA BORGES,3965
ROSE-MARX WAYNE DE OLIVEIRA,34762
SUELENE DA COSTA BANDEIRA,3065
WALDEMIR SOARES DA SILVA,1494
ANSELMO QUADROS,1124
ANTONIO BENEDITO DA SILVEIRA,1093
BLENER LOPES DE CARVALHO,1547
ELENIRA TATIANA LEMOS VIEIRA CHADUD,94587
FLÁVIA CARREIRO ALBUQUERQUE MORAIS,339086
GERIVALDO PEREIRA DA SILVA,808
GILBERTO LOPES FARIA,823
JOSE RICARDO DE SOUZA,3032
JOÃO SANDES JUNIOR,198642
MARCIO JOSE NEVES DUARTE,2873
MATUSAEL DO NASCIMENTO,9535
MAURO CESAR DE SOUSA,819
PAULO MARTINS DA SILVA,6212
RANIERY NUNES DA SILVA,22724
ROBERTO EGÍDIO BALESTRA,292539
SANDRO DA MABEL ANTONIO SCODRO,426949
SERGIO RAMOS CAIADO,107986
VANDERLAN MOURA JÚNIOR,1896
WILMAR PEREIRA DA CUNHA,1434
AUGUSTINHO SCHEFFER DA ROSA,841
NILTON VIEIRA DA SILVA,988
WELINGTON CEZAR SILVA,546
DENIS ROBSON DA SILVA,1492
ELISEU TOMAZ DE AQUINO,1220
FÁBIO TOKARSKI,58024
GALENO PEREIRA GUIMARÃES,6111
IRIS DE ARAUJO REZENDE MACHADO,191778
ITAMAR DA SILVA LIMA,7435
JOAO BATISTA RIBEIRO DE QUEIROZ,1330
JOAO MENDES DE REZENDE,1719
JOSÉ SEBBA JUNIOR,25840
LAZARO ADELMO MENDONCA,1844
LEANDRO VILELA VELLOSO,230178
MARINA PIGNATARO SANTANA,63325
MUSTAFÁ LIMA DE ARAÚJO,7013
PEDRO AFONSO DE FREITAS,1441
PEDRO DAMIÃO PEREIRA,1610
PEDRO PINHEIRO CHAVES,126064
RUBENS OTONI GOMIDE,187911
SORMANI IRINEU RIBEIRO,5493
THIAGO MELLO PEIXOTO DA SILVEIRA,214031
WAGNER DA SILVA GUIMARAES,121902
FREDERICO CHARLES SABIO NASSIF,6313
VALMIRO BATISTA DO NASCIMENTO,595
MARCO AURÉLIO DE ALMEIDA,10447
GÉRSON SANT ANA,2316
CARLITO ALVES RODRIGUES,1568
PAULO ELIAS CAD,1257
JAIRO MARTINS DE SOUZA,602
JUVENAL BORGES DE ALMEIDA,843
ELVIDIO ALVES RÊGO,1814
NAIR FRANCISCO PIRES,2913
MARCIO RIVAIR GUNTIJO,2535
PEPLIONIO FERREIRA PEREIRA,1244
RICARDO FERREIRA DE SOUSA,1707
GILBERTO PATRICIO DA SILVA,602
LAURO DE NADAI DA SILVA,1042
JOSÉ MENDES RESENDE,2037
JOSE RENATO ALVIM DA SILVA,1922
MARCOS AURÉLIO BARBOSA DA SILVEIRA,1700
ADOLFO LOPES JAMEL EDIN,1309
ELOY NATAN SILVEIRA NASCIMENTO,1317
CARLOS ORLEANS BRANDAO JUNIOR,62309
CELSO CORREA PINHO,2096
EDIVALDO DE HOLANDA BRAGA JUNIOR,40725
EDMILSON SANCHES,3234
FERNANDO TELES ANTUNES,34161
HELIO BATISTA DOS SANTOS,75348
JOANICIO AMORIM ARAUJO,5612
JOAQUIM JORGE MARTINS ARAUJO,1464
JORGE HENRIQUE ROCHA CAMPOS,1913
JOSE ELEONILDO SOARES,108330
JOSÉ ORLANDO DOS SANTOS CARVALHO,1894
JOÃO EVILASIO SILVA,1748
JULIÃO AMIN CASTRO,83039
KLEBER KLEPER FERRO LEITE FILHO,9581
ORLANDO ARAUJO MENDES,10868
ORLANDO RANGEL PEREIRA RIBEIRO,8906
RAIMUNDO MOACIR MENDES FEITOSA,65384
TELMA PINHEIRO RIBEIRO,28063
TEREZINHA DE OLIVEIRA AMARO,1500
WEVERTON ROCHA MARQUES DE SOUSA,58757
JOSE DE RIBAMAR REZO CARDOSO JUNIOR,1143
FRANCISCO WILSON LEITE DA SILVA,3380
JOSEMAR LOPES DE SOUSA,2416
ANTONIO CARLOS BACELAR NUNES,77979
ANTONIO DA CONCEIÇÃO COSTA FERREIRA,63332
BERCKSON SANTOS RAMOS,1038
CLEBER VERDE CORDEIRO MENDES,78827
CLÁUDIA REGINA DAS CHAGAS SOUSA,5368
DAVI ALVES SILVA JÚNIOR,61416
DOMINGOS FRANCISCO DUTRA FILHO,80207
ERNESTO VIEIRA DE CARVALHO NETO,35545
FRANCISCA UERLY DOS SANTOS QUEIROZ,14565
FRANCISCO JOSÉ ARAUJO,4377
FRANCISCO LUIZ ESCÓRCIO LIMA,151960
GASTÃO DIAS VIEIRA,149267
JOAS SILVA SANTOS,3818
JOSE ALBERTO OLIVEIRA FILHO,48837
JOSE RIBAMAR RODRIGUES FILHO,36446
JOSÉ RICARDO SILVEIRA MARQUES,6301
JOSÉ SARNEY FILHO,162185
JOSÉ VIEIRA LINS,76272
JÚLIO SIMÕES FILHO,1152
LINDEMBERG DAVI ARAUJO,3468
LINDON JOLKSON ARAUJO,1062
LUCIANO FERNANDES MOREIRA,127109
MARCIO ANIBAL GOMES VIEIRA,14307
MARIA LÚCIA MARINHO LIMA,8786
MÁRIO HENRIQUE BORGES DE SOUZA,5988
NEY JEFFERSON PEREIRA TEIXEIRA,16015
NICE LOBÃO,56632
OSMAR DE ARAUJO COELHO,3326
PAULO CELSO FONSECA MARINHO JÚNIOR,32640
PEDRO FERNANDES RIBEIRO,158960
PEDRO NOVAIS LIMA,62749
RAIMUNDO MONTEIRO DOS SANTOS,60378
RAIMUNDO NONATO DE SOUSA COSTA,1691
RAIMUNDO NONATO SILVA JUNIOR,3666
SÉTIMO WAQUIM,71776
TEREZINHA DAS NEVES PEREIRA FERNANDES,22291
WALDIR MARANHÃO CARDOSO,105994
WASHINGTHON LUIZ DE FREITAS,1307
WILSON RAIMUNDO TAVARES SILVA,1568
AGEMIRO MEDEIROS DE SOUSA,1267
DENERVAL NUNES AMARAL,1193
EURAMIR REIS PEREIRA,2952
HENRIQUE JORGE REIS DE ALMEIDA,3565
JOSE MOREIRA ABREU,1181
JOÃO DAMASCENO CORREA MOREIRA,2553
LINO EMANOEL CARDOSO DOS SANTOS,13459
MARCELO CRUZ MARTINS DE SÁ,1068
MARCIO ROBERTO LEAL DE MATOS,2748
ORLANDO OLIVEIRA ALVES,2302
RONEY SIMEY COSTA CASTRO,1068
SAMOEL CAMPELO,4662
VALMIR SIEBRA VILAR,797
WERITON SOUSA PEREIRA,1028
KLEBER SILVA DE MIRANDA,4136
LOURIVAL MENDES DA FONSECA FILHO,34103
TERESINHA DE JESUS MESQUITA MATOS,843
MARIA APARECIDA CARDOSO DE SOUSA,8196
ANTONIA SINHORINHA SILVA,2126
JOHN DE OLIVEIRA RIBEIRO,1414
LUIZ CARLOS FERREIRA,680
LUIZ CARLOS FARIAS DO LAGO FILHO,701
MANOEL PEREIRA DE SOUSA,682
ZIZUINO BARROS DA SILVA,4721
CARLOS MAGNO DOS REMEDIOS,1717
ALBERTINO ALVES PEREIRA,2453
ALEXANDRA MIGUEL CRUZ TAVARES,23001
ANTONIO AUGUSTO SOUSA,11818
FRANCISCO DAS CHAGAS GOMES,1117
ISAIAS MENDES RIBEIRO,2494
JANDIR FREITAS SALES JUNIOR,673
JOSÉ INACIO GUIMARAES RODRIGUES,2204
JOSÉ RIBAMAR COSTA ALVES,91782
MAURICIO LUITGARDS MOURA DE ALMEIDA SILVA,27667
FRANCISCO WELLINGTON ALVES RIBEIRO,1151
CHIDOZIE PATRICK EMMANUEL EZEANOWAI,1915
CLAYTON NOLETO SILVA,4197
FRANCISCO DIAS ALMEIDA,5752
JOSÉ CARLOS SANTOS TEIXEIRA,2126
JOSÉ DE JESUS PINHEIRO CARVALHO,14297
JOÃO DA CRUZ SILVA,4310
LUIS MARCELO VIEIRA ROSA,2404
MARCELLO SOARES SANTOS,2856
MIRAMAR DIAS FERNANDES,1637
RAYMUNDO JOSE ARANHA PORTELADA,15863
VANILMA DE FATIMA TATI ARAÚJO LIMA,24199
MELCHIZEDEC OLIVEIRA SANTOS PAIVA,1452
JONATAS LOPES FREITAS,7286
ALTEMAR LIMA DE SOUSA,35614
BENEDITO DOS SANTOS,1314
JOSE LUIS TEIXEIRA DO LAGO NETO,2336
JOSE SIMPLICIO ALVES DE ARAUJO,33871
MARIO ANTONIO FERREIRA SA,6890
WALTER DA SILVA,2325
BENEDITO DE JESUS SANTOS,1742
RAMILDO AIRES DE OLIVEIRA,1159
JOSE DOS SANTOS CONCEICAO,1253
RICARDO CEPPAS ARCHER,54280
NIVALDO NASCIMENTO SOUSA,628
LUIS ROGERIO VIEIRA DA SILVA,1247
GILBERTO LOPES FILHO,2609
ISRAEL SILVA BORGES,13120
JULIO JOSE DE CAMPOS,54442
LEONCIO PINHEIRO DA SILVA FILHO,8893
THELMA FIGUEIREDO PIMENTEL DE OLIVEIRA,53560
NILSON APARECIDO LEITÃO,114783
JOSÉ ROGERIO SALLES,35774
VALERIA CARDOSO,671
WILSON JUNIO CHAMORRO,6978
ZEFERINO BORTOLON,5524
ANTONIO MARCOS NASCIMENTO LEMOS,1589
WILLIAN TADEU RODRIGUES DIAS,2527
ADAIR RUFINO DA SILVA FILHO,2109
NEUZA ANAIA DE SOUZA GOMES,1890
EUNICE TEODORA DOS SANTOS,2294
MARIO FRANCELINO VIEIRA,7109
SERGIO HENRIQUE FONSECA GUIMARÃES CARVALHO,27136
VALTENIR LUIZ PEREIRA,89721
ANDRE GERARD TRÉCHAUD,1044
CARLOS GOMES BEZERRA,233682
EDIVAL DE PINHO COSTA,1670
FLORIVALDO ROBALO DA ROSA,4052
HOMERO ALVES PEREIRA,198944
JOANA DARC MIRANDA SOUSA,1017
LUCIA DE LOURDES GONÇALVES,8175
MANOEL LUIZ NOSCHANG,11732
SAGUAS MORAES SOUSA,154537
VERA LUCIA CARVALHO,858
VICTORIO GALLI FILHO,8278
WELLINGTON ANTONIO FAGUNDES,194761
ELIEZER MOREIRA DOS SANTOS,809
GENESSY ASSUNÇÃO SOUZA,1350
DORGIVAL DA SILVA,1555
ROBERTO DORNER,54163
JAQUELINE BEBER GUIMARÃES,21757
PEDRO HENRY NETO,156650
ELIENE JOSÉ DE LIMA,100937
NERI GELLER,51742
ROBERTO ANGELO DE FARIAS,7297
SERGIO JOSE DE AGUIAR,3855
OZIOL BEZERRA DE PAULA,1021
AMOREZIO DIAS VIDRAGO,1193
AVELINO RIBEIRO DA SILVA NETO,1273
DAVI MANOEL DO NASCIMENTO,1122
CRISTIANO NOGUEIRA PERES,8523
ANA FLAVIA BOTELHO RODRIGUES,2723
WILSON MASSAHIRO KISHI,14544
JULIANO DE SOUZA RABELO,6088
ELSO RODRIGUES,5204
ARAHAO NUNES CABRAL,5267
JULIO CEZAR DA SILVA MATOS,1355
ALEDINER MESQUITA BORBA,7135
CRISTIANE MENDES MACHADO ROCHA,1881
CLOVIS ANTONIO DE PAULA,13388
EDUARDO ALVES MOURA,51763
SUELI DIAS DE OLIVEIRA,220
SERYS MARLY SLHESSARENKO,61439
SANDRA HELENA MARTINI,2222
ADEMIR DE SOUSA OSIRO,18387
AKIRA OTSUBO,137012
ANTONIO JULIANO DE BARROS,9834
CAIO AUGUSTO CESAR DE SOUZA MORAES,11046
EDSON GIROTO,127045
ESACHEU CIPRIANO NASCIMENTO,51788
FABIO RICARDO TRAD,42493
FRANCISCA MARIA DANTAS,4554
GERALDO RESENDE PEREIRA,77182
IARA COSTA,5357
JORGE APARECIDO QUEIROZ,10150
JOSENITA CABRAL SILVA,5187
LUIZ HENRIQUE MANDETTA,104269
RAIMUNDA LUZIA DE BRITO,5671
REINALDO AZAMBUJA SILVA,214571
ROBERTO HASHIOKA SOLER,122413
SERGIO AUGUSTO FONTELLAS DOS SANTOS,27388
SERGIO PEREIRA ASSIS,32469
SILVANA APARECIDA TOLA,3543
SIMONE SILVA DIAS,5138
ZENAIDE DE SOUZA FERREIRA,5608
APENZELER DUTRA CARNEIRO,5386
CLAUDIO PACHE ANACHE,7165
CRISTIANE PINHEIRO DUARTE,4253
EDMIR RIBEIRO TERRA,6854
ELANO HOLANDA DE ALMEIDA,6190
IDALINA APARECIDA BATISTA DOS SANTOS,7140
IONALDO JOSE ARCE,6343
JEAN KLEBER BEZERRA JORGENSEN,6475
JORGE MARCIO IGNACIO NIGRES,5731
LEONISE PEREIRA DE ARAUJO,6121
MARIANO JUSTINO MARCOS TERENA,6766
MARLENE RIVAROLA,4727
MOISES TEIXEIRA ERVILHA,5989
ROBERTO RIBEIRO DE OLIVEIRA,6494
ROSINEIA SILVA DE CARVALHO,3740
SEBASTIAO RONEI SOUZA RIBEIRO,6560
SERGIO MAGNO GOMES LOUZADA,6244
WANDERLEY MACEDO LIMA,5441
ANTONIO CARLOS BIFFI,176075
ANTONIO FERREIRA DA CRUZ FILHO,41166
CARLOS ALBERTO MACHADO,14723
DELARI MARIA BOTTEGA EBELING,13861
ELIAS ISHY DE MATTOS,8742
GILMAR DE ALMEIDA VICENTIN,10882
IACIR PAULO RODRIGUES DE AZAMOR,6445
IARA NEVES DE SOUZA,4797
JOAO BATISTA DOS SANTOS,63654
MARIANGELA BENTOS DA SILVA,1057
MARLENE MARA ALVES MARTINS,1289
MAYCOL HENRIQUE QUEIROZ ANDRADE,9846
MILANE BELLI DE LANA PAIVA,3039
MILTON QUARESMA GOMES,1740
MOACIR ROBERTO DE ABREU,8100
SERGIO LINS LACERDA DE BARROS,3944
SIMONE PAIM DOS SANTOS DE ALMEIDA,6648
VANDER LUIZ DOS SANTOS LOUBET,330673
VICENTE DE SOUZA LICHOTI,7892
GEORGE MAIA MISTRAL,616
MARCIO ALVES BENITES,703
MOACIR BARBOSA DA SILVA,871
FABRIZIA TINOCO ABREGO,8572
ALBERTO DE MEDEIROS GUIMARÃES,5857
MARÇAL GONÇALVES LEITE FILHO,86621
EDINETE BENEDITA SILVA JUSTINO,5257
ARYANA DA SILVA MOURA,4540
ADEMIR SOARES DE SOUZA,1587
ADÃO MARTINS DE SOUZA,1484
ALESSANDRO MARQUES,66330
ALEXANDRE GERALDO DE SOUZA,2298
ALFREDO CARDOSO TEIXEIRA FILHO,17496
ALFREDO PASTORI NETO,21799
ANTONIO ALBERTO LOBO RAMOS,1662
ANTONIO MEDINA OLIVEIRA SILVA,1450
APRIGIO VELOSO PRATES,4090
CARLOS ALBERTO MANGABINHA RIBEIRO,2759
CRISTIANO VIANA PEREIRA DE AZEVEDO CALDAS,5142
DEUSDEDIT BERNARDO DOS REIS,732
DOMINGOS DOS REIS MONTEIRO,11069
DULCE MARIA DA SILVA,1147
ERASMO RODRIGUES DINIZ,2240
EVALDO LAGO DE MENDONÇA,4201
FATIMA MARIA DE JESUS CHAVES HORTA,941
FLAVIO BARBOSA DA SILVA,10247
FRANCE LOPES DE FARIA,1443
FRANCISCO DE ASSIS DANTAS DE ARAUJO,615
GEREMIAS FERREIRA DE BRITO,46484
GUSTAVO MARQUES CARVALHO MITRE,43212
HUGO CESAR REZENDE THOME,26259
ISA BATISTA DE SOUSA,2848
JANIO PAULO DA SILVA,1640
JORGE FERREIRA CRUZ FILHO,2643
JOSE IRINEU DE RESENDE,13671
JOSE JACINTO DA SILVA,1101
JOSE MARTINS DA SILVA,4209
JOSE RAIMUNDO CORDEIRO,1120
JOSE ROQUE DA SILVA FILHO,4062
JOÃO JOSÉ JOAQUIM DE OLIVEIRA,2222
JULIO CESAR MARTINS GONCALVES,12579
LUIZ ANTONIO DE BASTOS ANDRADE,16102
LUIZ CARLOS GONCALVES DOS SANTOS,1928
MANOEL BISPO DOS SANTOS,1508
MARCO REGIS DE ALMEIDA LIMA,12929
MARCO ZALEM RITA,11091
MARIA DAS GRAÇAS TAKAHASHI,1068
MARIA PEREIRA DOS REIS,1247
MARIA PERPETUO SOCORRO DE MORAIS,1032
MARIO JORGE RIBEIRO DA SILVA,2700
MELQUISEDEQUE GOMES DOS SANTOS,4342
MESSIAS DE FATIMA CORREA,9702
OMAR RESENDE PERES FILHO,100472
RAYMUNDO LUIZ MOREIRA LOPES,1975
RENATO LEOPOLDINO DE OLIVEIRA,1708
RODRIGO MOREIRA LADEIRA GRILO,26275
VALTER TEIXEIRA DE SOUZA,1092
VANDERLEI DA ROCHA TEIXEIRA,10516
VINICIUS ANGELO ARAUJO,16272
WALTER DA ROCHA TOSTA,132759
WANDERSON JOSE DA COSTA,1421
WELINTON SCUTARI,856
WILSON GONÇALVES DE OLIVEIRA,3580
ALADÍLSON CRUZ MARTINS,2971
ALEXANDER NERY SANT ANNA,974
ALEXANDRE BOSSI QUEIROZ,3599
ANTÔNIO AMÉRICO PAIVA DA SILVA MARTINS,988
ANTÔNIO ROBERTO SOARES,102787
DOLÔR PEREIRA,1012
ELAINE MARIA DE CARVALHO GUIMARÃES,913
FÁBIO AUGUSTO RAMALHO DOS SANTOS,156714
GERALDO AFONSO DE PAULA CORRÊA,1273
JOSÉ REINALDO DE LIMA,16474
JUAREZ DE SOUZA DA ROCHA,1608
JULIO CESAR DE LIMA CAINELLI,4343
JÚLIO CÉSAR DE OLIVEIRA DA COSTA,287
LUIZ DIAS DA SILVA,815
LUIZ GONZAGA RIBEIRO,35081
LUZIA REGINA DE OLIVEIRA DOMINGUES,508
MARCÍLIO CARLOS FERREIRA,2507
MARIA GORETE RIOS,5296
OSMAR FONSECA DE REZENDE,476
OTÁVIO GONÇALVES FREITAS,20793
RANDOLFO JOSÉ BARBOSA,622
RAUL JOSÉ DE BELÉM,56641
ROBERTO RIBEIRO GONÇALVES,4568
ROMANELY TEIXEIRA SARAIVA,15682
ROSANA NASCIMENTO,1781
SAMUEL FERREIRA GOMES,1662
SANDER SIMAGLIO MACIEL,16338
VICENTE DOS REIS MARINHO,939
VIVIANE FERREIRA DOS SANTOS,1280
WALDEMAR LEITE,692
WEDERSON OSMAR MOREIRA,9316
ADAO LUCIO DELGADO,3975
ALAN VINICIUS JORGE,2593
CLAUDIO DE FARIA MACIEL,29345
DEUSEMI GOMES FERREIRA JUNIOR,1918
HELBERTH SILVA NEVES,885
JAIR ALVES LOPES,1836
JOAQUIM PEDRO DOS SANTOS FILHO,2740
JOSE DE ARIMATEIA NEVES,4291
JOSE HUMBERTO SOARES,58372
JOSE HUMBERTO SOARES,1596
LUIZ ABRAHAO SEFAIR,1828
LUIZ GERALDO SORANÇO,7432
MARIO DE LACERDA WERNECK NETO,33288
PAULO ALBERTO RISSO DE SOUZA,33466
VITOR DO CARMO CARNEIRO,1044
CARLOS ROBERTO DE CARVALHO,86165
CLEUZA MOREIRA BARBOSA,869
EUGENIO RIBEIRO DA SILVA,927
FELIX MAGNO VON DOLLINGER,2568
JOANA MARIA DA SILVA DE SOUZA,986
JOAO BATISTA ARANTES DA SILVA,8156
JOSE WILSON PEREIRA AGUILAR,12672
JOSÉ DO CARMO DE LIMA BARBOSA,1425
MARCOS ANTONIO DE OLIVEIRA ALONSO,1440
MARIO DE OLIVEIRA,127162
MILTON CAMILO LOPES,2217
NEY FRANCO JUNIOR,13006
NORALDINO LUCIO DIAS JUNIOR,36922
ROVILSON DE ASSIS PIMENTEL,1437
STEFANO AGUIAR DOS SANTOS,44555
AELTON JOSE DE FREITAS,182053
ALEXANDRE SILVEIRA DE OLIVEIRA,1044668
ANTONIO PINHEIRO JUNIOR,237913
ARACELY DE PAULA,198372
BERNARDO DE VASCONCELLOS MOREIRA,237378
BONIFÁCIO JOSÉ TAMM DE ANDRADA,264942
CARLAILE DE JESUS PEDROSA,120435
CARLOS DO CARMO ANDRADE MELLES,232549
CARLOS LOBO CORDEIRO,2712
CLAUDIA NEDER,1634
DIEGO LEONARDO DE ANDRADE CARVALHO,196181
DIMAS FABIANO TOLEDO JUNIOR,454597
DOMINGOS SÁVIO CAMPOS RESENDE,251478
EDMAR BATISTA MOREIRA,207989
EDUARDO BRANDÃO DE AZEREDO,193813
EDUARDO LUIZ BARROS BARBOSA,141600
EDUARDO PRATES OCTAVIANI BERNIS,72339
GERALDO MAGELA STARLING DE OLIVEIRA,2062
GERALDO THADEU PEDREIRA DOS SANTOS,145072
HELIO FERRAZ DE OLIVEIRA,68074
HUMBERTO GUIMARÃES SOUTO,54100
IVAR DE ALMEIDA CERQUEIRA NETO,71908
JAIME MARTINS FILHO,222840
JOSE CARLOS RENDE,1558
JOSÉ DOS REIS PAULO,1022
JOÃO BITTAR JÚNIOR,151863
LAEL VIEIRA VARELLA,86680
LEONARDO NASCIMENTO,4033
LINCOLN DINIZ PORTELA,237766
LUIZ CARLOS MUNHOZ MEIRA,3026
LUIZ FERNANDO RAMOS FARIA,339164
MARCIO REINALDO DIAS MOREIRA,321447
MARCOS MONTES CORDEIRO,208831
MARCUS VINÍCIUS CAETANO PESTANA DA SILVA,345907
MARIA ALVES DE FIGUEIREDO,1356
MARIA AUGUSTA DORNAS,10498
MARIA LUCIA DIAS VALENTIM,1809
MAURO LUIZ DA SILVA,1688
NARCIO RODRIGUES DA SILVEIRA,514383
NEIDSON DIAS FREITAS,54559
OLAVO BILAC PINTO NETO,443489
PAULO ABI ACKEL,480358
RENATO BARBOSA DE ANDRADE,102496
RENZO DO AMARAL BRAZ,820351
RODRIGO BATISTA DE CASTRO,414641
RUY ADRIANO BORGES MUNIZ,189081
VENÍCIO ROCHA,2825
VITOR PENIDO DE BARROS,108595
WALTER FERREIRA DE ARAUJO,1484
ADARLEI DIAS DA SILVA,2930
ADICIO DIAS SOARES,26377
ALVARO RODRIGUES COELHO,7197
ANTONIO CARLOS DA SILVA,860
ANTONIO CLARET DE RESENDE,1048
ARMANDO CESAR DEL BIANCO,3051
CARLOS EUSTAQUIO MOREIRA FERNANDES,289
CARLOS GOMES DA CRUZ,1959
CELSO LEITE DA LUZ,962
CESAR LOURENCO DIAS DE CASTRO,1361
CLAUDIO CELIO CUNHA DEFENSOR,1021
CLAUDIO NICOLETE SCHMIDT,622
DALVA MARIA FERREIRA DE SOUZA,832
DARLY ALVES DE SOUZA,19124
DAVI CARLOS PEREIRA,1357
DIANA PATRICIA CARDOSO DA SILVA,853
EDMUNDO MIGUEL MARTINS,961
ELIAS RAMOS SOARES,9212
ELISEU LOURENCO DA SILVA,1509
EZIO GUILHERME DA SILVA,27269
FERLANDA DAS GRACAS GOMES,625
FERNANDO EUSTAQUIO PEIXOTO DE MAGALHAES,1776
GERALDA SOUZA DA SILVA,684
GLAYSON MATIAS BARBOSA,766
HERBERT AUGUSTO DA SILVA,1457
JEFFERSON RODNEY DE OLIVEIRA,9438
JOAO ALEXANDRE CHAVES,3340
JOAO BATISTA FERREIRA RIBEIRO,561
JOAO DIAS MOREIRA FILHO,702
JORGE ANDRE SOUZA PERIQUITO,16737
JOSE CARLOS COUTINHO,2776
JOSE EDMILSON BATISTA VIEIRA,8036
JOSE FRANCISCO DO NASCIMENTO,594
JOSE MARIA DO PINHO BICALHO,42139
LAERCIO SOARES DE MELO,1552
LUIS HENRIQUE DE OLIVEIRA RESENDE,169745
LUIZ ALDO DA SILVA SANTOS,656
NILSON DAS MERCÊS,672
NIVALDO SEVERINO RAMOS DE ARAUJO,2994
ONEIVO ANDRADE CAMPOS,676
OSVALDO PATROCINIO DA SILVA,1451
PAULINO DE MIRANDA NETO,667
RENE SANTOS OLIVEIRA,984
ROBSON MEIRA MEDEIROS,844
ROMULO CALIXTO MAGALHAES,2153
RONALDO JOSE CUSTODIO,871
RUBENS SOARES DA ROCHA,1026
SAULO RODRIGUES DA COSTA,1916
SEBASTIAO MIGUEL JORGE,7766
SILVANO RODRIGUES DE ARAUJO,50175
VALERIO JOSE DE PAULA VICTOR BRITO,1302
WALFREDO RODRIGUES FILHO,5014
WILLIAN HENRIQUE FRANCA,1232
ZELINDA ALVES BICALHO,889
GILBERTO ANTÔNIO GOMES,1418
VALERIO VIEIRA DOS SANTOS,1481
ADÃO RIBEIRO DA SILVA,1393
ADEIR BATISTA PEREIRA,1416
ADENOR LUIZ SIMÕES COELHO,17652
ANDREY MARCIO GOMES,6032
ANELITO PEREIRA DE OLIVEIRA,1000
ANTONIO GODOFREDO ALMEIDA VIOLANTE,8741
AUGUSTO BARBOSA DA SILVA PEREIRA,73136
CARLOS ALBERTO ALVES,1592
CARLOS ALBERTO COTTA,42933
DOMINGOS FRANCISCO DE CASTRO,28558
EDSON MELGAÇO,2848
EDUARDO DE SOUZA MAIA,11273
EROS FERREIRA BIONDINI,165917
ESDRAS JUVENAL DE QUEIROZ,7061
FABIO ANTONIO DE CARVALHO JUNIOR,2331
FERNANDO WILSON BUSTAMANTE LEVENHAGEN,2552
FRANCISCA MARIA DA SILVA,2292
GEZIEL RAMOS SILVA,4102
ISAIAS SILVESTRE,23781
JAISTON MARCELO DE OLIVEIRA,2014
JOAO BATISTA DE BRITO,3025
JOSE CARLOS PEREIRA DA SILVA,1657
JOSE LUIZ AUGUSTO,11616
JOSÉ ÁUREO DE ABREU,3640
JULIO CESAR DELGADO,137906
JUSCELINO DE OLIVEIRA FERNANDES,1376
LUIS CARLOS DE OLIVEIRA,15027
MARCIO ANTONIO DE OLIVEIRA,2273
MARCIO RODRIGUES CORDEIRO,1644
MARCO RODRIGO RIOS BERTOLACINI,1857
NATANIAS BERTOLINI BUENO,1592
PAULO GUSTAVO DIAS LOPES,16303
PEDRO CORREA ALVARENGA BARROS,1902
ROBERT WILLIAM DE CARVALHO,2131
SAULO MIRANDA PINTO,1374
SERGIO GONCALVES FERREIRA,1034
SEVERO AUGUSTO DA SILVA NETO,12070
WAGNER DE CASTRO,2036
ANTONIO JOSE DA SILVA,785
CARMOZINO RODRIGUES DOS REIS,1411
CLEVERSON LOBO BUIM,2545
ELTON CRUVINEL BORGES,834
FIDELIS ALDO DE MORAES,680
GERALDO FELIPE DA SILVA,1214
JOAO BATISTA DE QUEIROZ,1451
JORGE TARCISIO TORQUATO,3916
LUCIANO CARVALHO DIAS,8315
MARIA DA CONSOLACAO ROCHA,1587
OSVALDO AMARAL FILHO,1075
PAULO CESAR PEIXOTO,955
REGINALDO PEREIRA DE SOUZA,4519
WILSON JORGE MOREIRA,1135
DALMO DE ASSIS PEREIRA,1443
ALEX LOMBELLO AMARAL,1246
ANTÔNIO DE ALMEIDA LIMA,420
ALDREY VASCONCELOS CHAVES,1409
CARLOS WILLIAN DE SOUZA,105906
DIOGENES GONÇALVES FANTINI,21639
EDISON MAGNO DE MACEDO,8061
EDUARDO TEODORO ROCHA AZEVEDO,1244
ELIAS ALVES DE SOUZA,1506
EVANILDO VITAL DA COSTA,1124
FLAVIO BRASIL MARZANO,7127
GERALDO EDSON MIRANDA GUSMÃO,3075
HASSIB HALIBCK DA SILVA,882
HELCIO LUCIO ALVES JUNIOR,1440
ITALUCIA ROMEIRO DE OLIVEIRA,813
JOSE JORGE VIEIRA,1207
JOSE ROBERTO CORREIA FRANÇA,2010
JOÃO SILVA DE SOUZA PEREIRA,1438
LEOPOLDO ALVES,1662
LINCOLN ALVES TEIXEIRA,1265
MARCO AURELIO DE FREITAS LISBOA,965
MARCOS EDUARDO DE ANDRADE,30234
MUNIR JACOB,22584
OSMAR DA SILVA,1112
PABLO CESAR DE SOUZA,151734
RAPHAEL MOURA FRANCO,993
RAUL PINTO AIRES,1154
REINALDO DUARTE COSTA,13988
ROBERVAL MOREIRA SANTOS,962
ROGERIO ALCANTARA DE MELO,1991
RUBENS ALMEIDA MURTA,2273
WALDIR DA SILVA,937
WANDERSON MATOZINHO DE SOUZA,1678
ALEXANDRE PEREIRA DA SILVA,5869
ANTÔNIO EUSTÁQUIO ANDRADE FERREIRA,264726
ARCANJO NUNES DOS SANTOS,5871
BERNARDO MUCIDA OLIVEIRA,12611
BRUNO WANDERLEY JUNIOR,3765
CELMILO RIVADAVIA EVANGELISTA DE GUSMAO,1753
CLEBERSON DE JESUS MATOS,1674
